,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Traditional Chinese (CHT),Simplified Chinese (CHN),Indonesian(IND),Polish (PL),Hungary(HUN),Thai(TH),Norwegian (NO),Danish (DK),Roumanian (RO),Pirate English,Hebrew (IL),Swedish (SWE),Greek (GR),Việt Nam (VN),Turkish / Türkçe (TR),Arabic (AR),Portugal Portuguese (PT),Suomi (FIN),Bulgarian (BG),Lithuanian (LT)
RELIC_PROCESSOR_LONG,Extra Shield,Escudo extra,Mais escudim,Extra Shield,Extra Shield,Extra Schild,Extra bouclier,Escudo extra,Extra štít,Extra Shield,Extra Shield,Extra Shield,Extra Shield,额外护盾,Extra Shield,Dodatkowa tarcza,Extra Shield,Extra Shield,Extra Shield,Extra Shield,Extra Shield,Extra Shield,Extra Shield,Extra Shield,Επιπλέον Ασπίδα,Extra Shield,Extra Shield,درع إضافي,Extra Shield,Extra Shield,,Papildomas skydas
RELIC_PROCESSOR_SHORT,Extra Shield,Escudo extra,Mais escudim,Extra Shield,Extra Shield,Extra Schild,Extra bouclier,Escudo extra,Extra štít,Extra Shield,Extra Shield,Extra Shield,Extra Shield,额外护盾,Extra Shield,Dodatkowa tarcza,Extra Shield,Extra Shield,Extra Shield,Extra Shield,Extra Shield,Extra Shield,Extra Shield,Extra Shield,Επιπλέον Ασπίδα,Extra Shield,Extra Shield,درع إضافي,Extra Shield,Extra Shield,,Papildomas skydas
RELIC_MEGAQUANTUMCHIP_NAME,Mega Quantum Chip,Mega Chip Quântico,Pente Um Atlom,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Chip Quantum,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip,Mega Quantum Chip
RELIC_MEGAQUANTUMCHIP_LONG,Perfect Accuracy,Mira Perfeita,Mira de bot,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Puntería perfecta,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy
RELIC_MEGAQUANTUMCHIP_SHORT,Perfect Accuracy,Mira Perfeita,Mira de bot,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Puntería perfecta,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy,Perfect Accuracy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSS_DUCANCOMMANDER,DUCAN COMMANDER,COMANDANTE DUCAN,MONSTRÃO,КОММАНДЕР УТКАН,DUCAN COMMANDER,Ducan-Commander,COMMANDANT DUCAN,Comandante Ducan,Velitel Ducan,듀컨 사령관,DUCAN COMMANDANT,COMANDANTE DUCAN,,DUCAN COMMANDER 鸭星人司令,,DOWÓDCA DUKANÓW,,,KVAKKANER KOMMANDØREN,,,Ducan Commander,גנרל הדוקן,,ΠΑΠΙΟΣ ΔΙΟΙΚΗΤΗΣ,Thủ lĩnh Con Vịt,DUCAN KOMUTANI,قائد الدوكان,Comandante Ducan,Ducan-komentaja,,Vadas DUCAN
BOSS_SHIELDGENERATOR,SHIELD GENERATOR,GERADOR DE ESCUDO,GERA ESCUDO,ГЕНЕРАТОР ЩИТА,SHIELD GENERATOR,Schildgenerator,GENERATEUR DE BOUCLIER,Generador de escudo,Generátor štítu,보호막 생성기,SCHILD GENERATOR,GENERATORE SCUDO,護盾產生器,SHIELD GENERATOR 创盾者,,GENERATOR TARCZY,Pajzs Generátor,,SKJOLD GENERATOR,,,Gorram Shields!,מחדש מגן,,ΓΕΝΗΤΡΙΑ ΑΣΠΙΔΑΣ,Máy phát điện,KALKAN OLUŞTURUCU,مولد الحماية,Gerador de Escudo,Kilpipalauttaja,,Skydo generatorius
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUTORIAL_2_KEY,Hold SPACE to Sprint,Segure ESPAÇO para Correr,SEGURA ESPAÇO P PINOTE,Удерживай SPACE для Спринта,SPACEを おしつづけて スプリント,Halte LEERTASTE um zu laufen,Maintenez ESPACE pour Sprinter,Mantén Espacio para correr,Drž mezerník pro běh,SPACE를 꾹 눌러 달리세요,Houd SPATIE ingedrukt om te Sprinten,Tieni Premuto Spazio per Correre,,按住 空格键 进行奔跑,,"Trzymaj SPACJĘ, aby biec.",Tarcsd lenyomva a SPACE gombot a Futáshoz,,Hold inne MELLOMROM for å sprinte,,,Keep Space Pushed To Run,"החזק על ""רווח"" כדי לרוץ",,"Κράτησε το ""SPACE"" πατημένο για Τρέξιμο",Giữ SPACE để chạy,Koşmak için SPACE tuşuna basılı tut.,علق على زر المسافة للجري,Mantém ESPAÇO pressionado para Correr,Pidä Välilyöntiä juostaksesi,,"Laikyk SPACE, kad bėkt"
TUTORIAL_2_JOY,Hold A to Sprint,Segure A para Correr,SEGURA A P PINOTE,Удерживай A для Спринта,Aを おしつづけて スプリント,Halte A um zu laufen,Maintenez A pour Sprinter,Mantén A para correr,Drž A pro běh,달리려면 A를 꾹 누르세요.,Houd A ingedrukt om te Sprinten,Tieni Premuto A per Correre,,按住 A 进行奔跑,,"Przytrzymaj ""A"" aby poruszać się sprintem",Tarcsd lenyomva a A gombot a Futáshoz,,Hold A for å sprinte,,,Hold A Down To Run,"החזק ""A"" כדי לרוץ",,Κράτησε το A πατημένο για Τρέξιμο,Giữ A để chạy,Koşmak için A tuşuna basılı tut.,علق على A للجري,Mantém A pressionado para Correr,Pidä A-näppäintä juostaksesi,,"Laikyk A, kad bėgt"
TUTORIAL_3_KEY,Tap SPACE to Dash,Toque ESPAÇO para Saltar,APERTA SPAÇO P BARRIGADA,Нажми SPACE для Рывка,SPACEを おして ダッシュ,Tippe LEERTASTE um zu springen,Maintenez ESPACE pour Dash,Toca Espacio para deslizarte,Zmáčkni mezerník pro úder,SPACE를 툭 눌러 돌진하세요,Toets SPATIE om te Bestormen,Premi Spazio per Scattare,,按 空格 进行冲刺,,"Wciśnij SPACJĘ, aby zrobić unik.",Nyomd meg a SPACE gombot a Kitéréshez,,Trykk MELLOMROM for å spurte,,,Tap Space To Roll,"לחץ ""רווח"" לזינוק",,"Διπλο-πάτησε το ""SPACE"" για Πέταγμα",Nhấn SPACE để Lướt tới,Sıçramak için SPACE'e İki Kez Bas,اضغط على زر المسافة لتندفع,Pressiona ESPAÇO para Deslizar,Näpäytä Välilyöntiä syöksyäksesi,,"Paspausk SPACE, kad staigiai pajudėtum"
TUTORIAL_3_JOY,Tap A to Dash,Toque A para Saltar,APERTA A P BARRIGADA,Нажми A для Рывка,Aを おして ダッシュ,Tippe A um zu springen,Appuyez sur A pour Dash,Toca A para deslizarte,Zmáčkni A pro úder,A를 툭 눌러 돌진하세요,Toets A om te Bestormen,Premi A per Scattare,,按 A 冲刺,,"Wciśnij ""A"", aby zrobić unik.",Nyomd meg a A gombot a Kitéréshez,,Trykk A for å spurte,,,Tap A To Roll,"לחץ ""A"" לזינוק",,Διπλο-πάτησε το A για Πέταγμα,Nhấn A để Lướt tới,Sıçramak için A tuşuna bas,اضغط A لتراوغ,Pressiona A para Deslizar,Näpäytä A-näppäintä syöksyäksesi,,"Paspausk A, kad staigiai pajudėt"
TUTORIAL_4_KEY,HOLD RIGHT MOUSE TO AIM,SEGURE BOTÃO DIREITO PARA MIRAR,OUTRO BOTAO DO MOUSE P RAIO LAZER,УДЕРЖИВАЙ RIGHT MOUSE ДЛЯ ПРИЦЕЛЕВАНИЯ,みぎクリック しつづけて エイム,Halte die rechte Maustaste um zu zielen,MAINTENEZ CLIC DROIT POUR VISER,Mantén Click derecho para apuntar,Drž pravé myšítko pro zaměřování,마우스 오른쪽 버튼을 꾹 눌러 조준하세요,HOUD DE RECHTER MUISKNOP INGEDRUKT OM TE RICHTEN,TIENI PREMUTO MOUSE DESTRO PER MIRARE,,按住鼠标右键来瞄准,,"Przytrzymaj prawy myszki, aby celować.",TARCS LENYOMVA A JOBB EGÉRGOMBOT AZ AUTOMATACÉLZÁSHOZ,,HOLD INNE HØYRE MUSEKNAPP FOR Å SIKTE,,,Hold Right Mouse To Aim,החזק את כפתור העכבר הימני כדי לכוון,,ΚΡΑΤΑ ΤΟ ΔΕΞΙ ΚΛΙΚ ΓΙΑ ΝΑ ΣΤΟΧΕΥΣΕΙΣ,Giữ Chuột Phải để nhắm,NİŞAN ALMAK İÇİN SAĞ FARE TUŞUNA BASILI TUT,علِّق على زر الفأرة الثانوي للتصويب,MANTÉM O BUTÃO DIREITO DO RATO PRESSIONADO PARA APONTAR,Pidä hiiren oikeaa näppäintä tähdätäksesi,,Laikyk dešinį pelės klavišą
TUTORIAL_4_JOY,HOLD LEFT TRIGGER TO AIM,SEGURE GATILHO ESQUERDO PARA MIRAR,OUTRO GATILHO P RAIO LAZER,УДЕРЖИВАЙ LEFT TRIGGER ДЛЯ ПРИЦЕЛЕВАНИЯ,ひだりトリガーを おしつづけて エイム,Halte den linken Trigger um zu zielen,MAINTENEZ LA GACHETTE GAUCHE POUR VISER,Mantén LT para apuntar,Drž LT pro zaměřování,왼쪽 트리거를 꾹 눌러 조준하세요,HOUD DE LINKER MUISKNOP INGEDRUKT OM TE RICHTEN,TIENI PREMUTO LT PER MIRARE,,按住LT键瞄准,,"Przytrzymaj lewy trigger, aby celować.",TARCSD LENYOMVA A BAL EGÉRGOBMOT HOGY BECÉLOZZA AZ ELENFELET,,HOLD INNE LT FOR Å SIKTE,,,Hold Left Trigger To Aim,החזק את ההדק השמאלי כדי לכוון,,ΚΡΑΤΑ ΤΗΝ ΑΡΙΣΤΕΡΗ ΣΚΑΝΔΑΛΗ ΓΙΑ ΝΑ ΣΤΟΧΕΥΣΕΙΣ,Giữ Thanh Trái để nhắm,NİŞAN ALMAK İÇİN SOL TRIGGER TUŞUNA BASILI TUT,علِّق على زناد التحكم الأيسر للتصويب,MANTÉM O GATILHO ESQUERDO PRESSIONADO PARA APONTAR,Pidä LT-tä tähdätäksesi,,"Paspausk kairį gaiduką, kad šauti"
TUTORIAL_5_KEY,PRESS LEFT MOUSE TO SHOOT,MOUSE ESQUERDO PARA ATIRAR,BOTAO DO MOUSE P DAR PIPOCO,НАЖМИ ЛЕВУЮ КНОПКУ МЫШИ ЧТОБЫ ВЫСТРЕЛИТЬ,ひだりクリックで しゃげき,Drücke die linke Maustaste um zu schießen,CLIC GAUCHE POUR TIRER,Pulsa Click izquierdo para disparar,Zmáčkni levé myšítko pro střelbu,마우스 왼쪽 버튼을 눌러 발사하세요,DRUK OP DE LINKER MUISKNOP OM TE SCHIETEN,PREMI MOUSE SINISTRO PER SPARARE,,按鼠标左键进行射击,,"Wciśnij lewy myszki, aby strzelać.",NYOMD MEG A BAL EGÉRGOMBOT A LÖVÉSHEZ,,TRYKK VENSTRE MUSEKNAPP FOR Å SKYTE,,,Press Left Mouse To Fire,לחץ על כפתור העכבר הימני כדי לירות,,ΠΑΤΑ ΤΟ ΑΡΙΣΤΕΡΟ ΚΛΙΚ ΓΙΑ ΝΑ ΠΥΡΟΒΟΛΗΣΕΙΣ,Nhấn Chuột Trái để bắn,ATEŞ ETMEK İÇİN SOL FARE TUŞUNA BAS,اضغط زر الفأرة الرئيسي لتطلق النار,PRESSIONA O BOTÃO ESQUERDO DO RATO PARA DISPARAR,Paina hiiren vasenta ampuaksesi,,"Paspasuk kairį pelės klavišą, kad šauti"
TUTORIAL_5_JOY,PRESS RIGHT TRIGGER TO SHOOT,GATILHO DIREITO PARA ATIRAR,GATILHO P DAR PIPOCO,НАЖМИ RIGHT TRIGGER ЧТОБЫ ВЫСТРЕЛИТЬ,みぎトリガーを おして しゃげき,Drücke den rechten Trigger um zu schießen,GACHETTE DROITE POUR TIRER,Pulsa RT para disparar,Zmáčkni RT pro střelbu,오른쪽 트리거를 눌러 발사하세요,DRUK OP DE RECHTER MUISKNOP OM TE SCHIETEN,PREMI RT PER SPARARE,,按RT键进行射击,,"Wciśnij prawy trigger, aby strzelić.",NYOMD MEG A JOBB GOMBOT A BEJELŐLÉSHEZ,,TRYKK RT FOR Å SKYTE,,,Press Right Trigger To Fire,לחץ על ההדק הימני כדי לירות,,ΠΑΤΑ ΤΗ ΔΕΞΙΑ ΣΚΑΝΔΑΛΗ ΓΙΑ ΝΑ ΠΥΡΟΒΟΛΗΣΕΙΣ,Nhấn Thanh Phải để bắn,ATEŞ ETMEK İÇİN SAĞ TRIGGER TUŞUNA BAS,اضغط زناد التحكم الأيمن لتطلق النار,PRESSIONA O GATILHO DIREITO PARA DISPARAR,Paina RT-tä ampuaksesi,,"Paspausk dešinį gaiduką, kad šauti"
TUTORIAL_6_KEY,"PRESS ""F"" FOR GRENADE","APERTE ""F"" PARA GRANADA","APERTA ""F"" Q JOGA BOMBA KKK","НАЖМИ ""F"" ЧТОБЫ БРОСИТЬ ГРАНАТУ",Fを おして グレネード,"Drücke ""F"" um eine Granate zu werfen","APPUYEZ SUR ""F"" POUR LANCER UNE GRENADE",Pulsa F para lanzar granada,Zmáčkni F pro hození granátu,"수류탄은 ""F"" 을 누르세요","DRUK OP ""F"" VOOR EEN GRANAAT","PREMI ""F"" PER LA GRANATA",,按F键投掷手榴弹,,"Wciśnij ""F"", aby rzucić granatem",,,"TRYKK ""F"" FOR GRANAT",,,"Tap ""F"" For Boomers","לחץ על ""F"" כדי לזרוק רימון",,"ΠΑΤΑ ΤΟ ""F"" ΓΙΑ ΧΕΙΡΟΒΟΜΒΙΔΑ",Nhấn F để ném Lựu Đạn,"EL BOMBASI ATMAK İÇİN ""F"" TUŞUNA BAS",اضغط F لتطلق القنبلة,"PRESSIONAR ""F"" PARA GRANADA",Paina F heittääksesi kranaatin,,"Paspausk ""F"" super skydui"
TUTORIAL_6_JOY,PRESS LB FOR GRENADE,APERTE LB PARA GRANADA,APERTA LB Q JOGA BOMBA KKK,НАЖМИ LB ЧТОБЫ БРОСИТЬ ГРАНАТУ,LBを おして グレネード,Drücke LB um eine Granate zu werfen,APPUYEZ SUR LB POUR LANCER UNE GRENADE,Pulsa LB para lanzar granada,Zmáčni LB pro hození granátu,수류탄은 LB 을 누르세요,DRUK OP LB VOOR EEN GRANAAT,PREMI LB PER LA GRANATA,,按LB键投掷手榴弹,,"Wciśnij ""LB"", aby rzucić granatem",,,TRYKK LB FOR GRANAT,,,Tap Left Bumper For Boomers,"לחץ על ""LB"" כדי לזרוק רימון",,ΠΑΤΑ ΤΟ LB ΓΙΑ ΧΕΙΡΟΒΟΜΒΙΔΑ,Nhấn LB để ném Lựu Đạn,EL BOMBASI ATMAK İÇİN LB YE BAS,اضغط LB لتطلق القنبلة,PRESSIONA LB PARA GRANADA,Paina LB heittääksesi kranaatin,,Paspausk LB granatai
TUTORIAL_6_KEY_PINKYY,"PRESS ""F"" FOR SUPER SHIELD","APERTE ""F"" PARA SUPER ESCUDO","APERTA ""F"" Q FICA IMORTAL","НАЖМИ ""F"" ДЛЯ АКТИВАЦИИ СУПЕР ЩИТА",Fを おして スーパーシールド,"Drücke ""F"" für das Superschild","APPUYEZ SUR  ""F"" POUR ACTIVER LE SUPER BOUCLIER",Pulsa F para usar Super Escudo,"Zmáčkni ""F"" pro super štít","PRESS ""F"" FOR SUPER SHIELD","PRESS ""F"" FOR SUPER SHIELD","PRESS ""F"" FOR SUPER SHIELD","PRESS ""F"" FOR SUPER SHIELD",按“F”启用超级护盾,"PRESS ""F"" FOR SUPER SHIELD","Wciśnij ""F"" by użyć super tarczy","PRESS ""F"" FOR SUPER SHIELD","PRESS ""F"" FOR SUPER SHIELD","PRESS ""F"" FOR SUPER SHIELD","PRESS ""F"" FOR SUPER SHIELD","PRESS ""F"" FOR SUPER SHIELD","PRESS ""F"" FOR SUPER SHIELD","PRESS ""F"" FOR SUPER SHIELD","PRESS ""F"" FOR SUPER SHIELD","ΠΑΤΑ ΤΟ ""F"" ΓΙΑ ΣΟΥΠΕΡ-ΑΣΠΙΔΑ","PRESS ""F"" FOR SUPER SHIELD","PRESS ""F"" FOR SUPER SHIELD","إضغط على زر ""F"" لدرع الخارق","PRESS ""F"" FOR SUPER SHIELD","PRESS ""F"" FOR SUPER SHIELD",,"Paspausk ""F"" super skydui"
TUTORIAL_6_JOY_PINKYY,PRESS LB FOR SUPER SHIELD,"APERTE ""LB"" PARA SUPER ESCUDO","APERTA ""LB"" Q FICA IMORTAL",НАЖМИ LB ДЛЯ АКТИВАЦИИ СУПЕРЩИТА,LBを おして スーパーシールド,Drücke LB für das Superschild,APPUYEZ SUR LB POUR ACTIVER LE SUPER BOUCLIER,Pulsa LB para usar Super Escudo,"Zmáčkni ""LB"" pro super štít",PRESS LB FOR SUPER SHIELD,PRESS LB FOR SUPER SHIELD,PRESS LB FOR SUPER SHIELD,PRESS LB FOR SUPER SHIELD,按LB键启用超级护盾,PRESS LB FOR SUPER SHIELD,"Wciśnij ""LB"" by użyć super tarczy",PRESS LB FOR SUPER SHIELD,PRESS LB FOR SUPER SHIELD,PRESS LB FOR SUPER SHIELD,PRESS LB FOR SUPER SHIELD,PRESS LB FOR SUPER SHIELD,PRESS LB FOR SUPER SHIELD,PRESS LB FOR SUPER SHIELD,PRESS LB FOR SUPER SHIELD,ΠΑΤΑ ΤΟ LB ΓΙΑ ΣΟΥΠΕΡ-ΑΣΠΙΔΑ,PRESS LB FOR SUPER SHIELD,PRESS LB FOR SUPER SHIELD,إضغط على زر LB لدرع الخارق,PRESS LB FOR SUPER SHIELD,PRESS LB FOR SUPER SHIELD,,Paspausk LB super skydui
TUTORIAL_7_KEY,SHOOT THE CENTER FOR EXTRA DAMAGE,ATIRE NO CENTRO PARA DANO EXTRA,MIRA NO PESCOÇO P ESTRAGA O VELORIO,СТРЕЛЯЙ В ЦЕНТР ДЛЯ ДОПОЛНИТЕЛЬНОГО УРОНА,ちゅうしんに あてれば だいダメージ,Treffe das Zentrum für zusätzlichen Schaden,TIREZ DANS LE MILLE POUR PLUS DE DEGATS,Dispara al centro para hacer daño extra,Sřílej přesně pro extra poškození,중앙을 쏘아 추가 피해를 입히세요,SCHIET IN HET MIDDEN VOOR EXTRA SCHADE,SPARA AL CENTRO PER DANNI EXTRA,,射击目标中央可产生额外伤害,,"Strzelaj w środek, aby zadać wysokie obrażenia",,,SKYT PÅ MIDTEN FOR EKSTRA SKADE,,,Hit The Middle For More Ouch,תירה על האמצע בשביל נזק נוסף,,ΠΥΡΟΒΟΛΗΣΕ ΣΤΟ ΚΕΝΤΡΟ ΓΙΑ ΕΠΙΠΛΕΟΝ ΖΗΜΙΑ,Bắn vào trung tâm để tăng sát thương,FAZLADAN HASAR VERMEK İÇİN ORTASINA ATEŞ ET,أطلق النار على المنتصف لتحقق ضررًا أكبر,ACERTA NO CENTRO PARA DANO EXTRA,Ammu keskustaa tehdäksesi lisävahinkoa,,Šauk per vidurį didžiausiai žalai
TUTORIAL_7_JOY,SHOOT THE CENTER FOR EXTRA DAMAGE,ATIRE NO CENTRO PARA DANO EXTRA,MIRA NO PESCOÇO P ESTRAGA O VELORIO,СТРЕЛЯЙ В ЦЕНТР ДЛЯ ДОПОЛНИТЕЛЬНОГО УРОНА,ちゅうしんに あてれば だいダメージ,Treffe das Zentrum für zusätzlichen Schaden,TIREZ DANS LE MILLE POUR PLUS DE DEGATS,Dispara al centro para hacer daño extra,Střílej přesně pro extra poškození,중앙을 쏘아 추가 피해를 입히세요,SCHIET IN HET MIDDEN VOOR EXTRA SCHADE,SPARA AL CENTRO PER DANNI EXTRA,,射击目标中央可产生额外伤害,,"Strzelaj w środek, aby zadać wysokie obrażenia",,,SKYT PÅ MIDTEN FOR EKSTRA SKADE,,,Hit The Middle For More Ouch,תירה על האמצע בשביל נזק נוסף,,ΠΥΡΟΒΟΛΗΣΕ ΣΤΟ ΚΕΝΤΡΟ ΓΙΑ ΕΠΙΠΛΕΟΝ ΖΗΜΙΑ,Bắn vào trung tâm để tăng sát thương,FAZLADAN HASAR VERMEK İÇİN ORTASINA ATEŞ ET,أطلق النار على المنتصف لتحقق ضررًا أكبر,ACERTA NO CENTRO PARA DANO EXTRA,Ammu keskustaa tehdäksesi lisävahinkoa,,Šauk per vidurį didžiausiai žalai
TUTORIAL_8_KEY,WEAPONS USE 3 DIFFERENT AMMO TYPES,ARMAS USAM 3 TIPOS DE MUNIÇÃO DIFERENTES,OS CANHÃO USA 3 TIPO DE BALA DIFERENTE,ДЛЯ ОРУЖИЯ ЕСТЬ 3 ВИДА БОЕПРИПАСОВ,ぶきの たまは 3しゅるいある,Waffen benötigen 3 unterschiedliche Munitionstypen,LES ARMES UTILISENT 3 TYPES DIFFERENTS DE MUNITIONS,Las armas utilizan 3 tipos de munición,Zbraně používají tři odlišné druhy munice,무기는 3 종류의 탄약을 사용해요,WAPENS GEBRUIKEN 3 VERSCHILLENDE MUNITIETYPES,LE ARMI USANO 3 DIFFERENTI TIPI DI MUNIZIONI,,武器使用三种不同类型的弹药,,Bronie używają 3 typów amunicji,,,VÅPEN BRUKER TRE ULIKE TYPER AMMUNISJON,,,Weapons Use 3 Different Shot Types,נשקים משתמשים בשלוש סוגי תחמושת שונות,,ΤΑ ΟΠΛΑ ΧΡΗΣΙΜΟΠΟΙΟΥΝ 3 ΔΙΑΦΟΡΕΤΙΚΑ ΕΙΔΗ ΠΥΡΟΜΑΧΙΚΩΝ,Vũ khí sử dụng 3 loại đạn khác nhau,SİLAHLAR ÜÇ FARKLI CEPHANE TÜRÜ KULLANIR,الأسلحة تستخدم ثلاثة أنواع من الذخيرة,ARMAS USAM 3 TIPOS DE MUNIÇÃO DIFERENTE,Aseet käyttävät 3 eri ammustyyppiä,,Ginklai naudoja trijų tipų kulkas
